v,Name,in TabArena v0.1,in data-foundry,Tags,# features,Comments to preprocessing,Source (Link to download),Source (Website),Original Source ,Original Source (Website),Source (Benchmark / Collection),# of appearances,Year,License,Reference,Free Comments,Potential issue,Required split,Problem Type,Usable Task Type,Given Task Type,Data Domain,Context Domain,Original Data State,samples,Use Case Comments,Uploaded to OpenML,# classes,Column 27
Dominika,Leukemia (ALLAML),No,leukemia_allaml,Yes,7072,"Dominika: dataset can be found here, however they use .dbc and .x files that are elvira-specific file types, not common for genomics data. Another thing is that OpenML uses 7,1290 features while the paper mentioned 6,917 genes they extracted, perhaps they filtered some out: RNA prepared from bone marrow mononuclear cells was hybridized to high-density oligonucleotide microarrays, produced by Affymetrix and containing probes for 6817 human genes (14). For each gene, we obtained a quantitative expression level. Samples were subjected to a priori quality control standards regarding the amount of labeled RNA and the quality of the scanned microarray image (15) -> this preprocessing step is unknown. The benchmark papers that use this dataset report 7129 or 7070 features (the latter can be obtained by filtering out Affymetrix control probes).",https://www.openml.org/d/1104,OpenML,https://www.science.org/doi/epdf/10.1126/science.286.5439.531,Other,"Recent advances in feature selection and its applications, Improving Mutual Information based Feature Selection by Boosting Unique Relevance, Robust feature selection using ensemble feature selection techniques, Hybrid method based on information gain and support vector machine for gene selection in cancer classification, Feature selection using Joint Mutual Information Maximisation, Feature Selection: A Data Perspective, Streaming Feature Selection using Alpha-investing, Embedded Unsupervised Feature Selection",8,1999,Public,https://doi.org/10.1126/science.286.5439.531,"Dominika: so it's class predicition for AML and ALL types of leukemia (afaiu). Would be nice to contact Pascal. The original dataset has been used for ""genomic aberrations profiling"". Not sure if the OG data has a label?",Dominika: so it's class predicition for AML and ALL types of leukemia (afaiu). Would be nice to contact Pascal.,Random (IID),Binary Classification,Predictive ML,Scientific Discovery,Tabular,medical & healthcare,Table,72,,Yes,2.0,
Lennart,Primary Tumor,No,ljubljana_primary_tumor,"Yes, Sensitive features",18,,https://www.openml.org/search?type=data&sort=runs&id=171&status=active,OpenML,https://archive.ics.uci.edu/dataset/83/primary+tumor,UCI,"Correlation-based feature selection for machine learning, Overcoming the myopia of inductive learning algorithms with RELIEFF, Comprehensive Decision Tree Models in Bioinformatics",3,1988,CC BY 4.0,,"D: same here, it feels a bit too simplistic for FS and TFM ",,Random (IID),Multiclass Classification,Predictive ML,Predictive ML,Tabular,medical & healthcare,Table,302,,Yes,22.0,
Dominika,Lung,No,lung_cancer,Yes,12601,"No raw data available, using OpenML (shapes match). Original 6 classes were merged into 5 (adenocarcinomas). ",https://www.openml.org/d/45093,OpenML,https://www.pnas.org/doi/abs/10.1073/pnas.191502998,Other,"Recent advances in feature selection and its applications, Feature Selection: A Data Perspective, Efficient feature selection via analysis of relevance and redundancy, Conditional likelihood maximisation: a unifying framework for information theoretic feature selection, Unsupervised Feature Selection Using Nonnegative Spectral Analysis, On the Use of Variable Complementarity for Feature Selection in Cancer Classification",6,2001,Public,https://doi.org/10.1073/pnas.191502998,Dominika: target is different types of human lung carcinomas,,Random (IID),Multiclass Classification,Predictive ML,Predictive ML,Tabular,medical & healthcare,Table,203,,Yes,5.0,
Lennart,Lymphography,No,lymphography,Yes,19,,https://www.openml.org/d/10,OpenML,https://archive.ics.uci.edu/dataset/63/lymphography,UCI,"Correlation-based feature selection for machine learning, Consistency-based search in feature selection, Very Simple Classification Rules Perform Well on Most Commonly Used Datasets, Comprehensive Decision Tree Models in Bioinformatics",4,1988,CC BY 4.0,,D: same source as breast-cancer and primary tumor,D: data from Yugoslavia with restriced access,Random (IID),Multiclass Classification,Predictive ML,Predictive ML,Tabular,medical & healthcare,Table,142,,Yes,4.0,
Basti,Marketing_Campaign,Yes,marketing_campaign,"Yes, No FS lit. reference",26,,https://www.openml.org/d/46940,OpenML,https://www.kaggle.com/datasets/rodsaldanha/arketing-campaign,Kaggle,TabArena,1,2014,Public,https://www.kaggle.com/datasets/rodsaldanha/arketing-campaign,,D: the source is a book (can't access) but i feel like it's a similar situation to the one with churn - we still don't know whether it's a real-world data ,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,business & marketing,Table,2240,,Yes,2.0,
Basti,Mechanisms of Action (MoA) Prediction,No,mechanisms_of_action,"Yes, No FS lit. reference, No Good Target",206,"Problem: We need to predicit multiple targets, so we could either merge or select one target, but I don't see how we can merge targets, the targets are medical values to predict as 5_alpha_reductase_inhibitor, vitamin_b, vitamin_d_receptor_antagonist, ... and there is not one outstanding target so we could just ignore the rest for a valid reason. Chose nfkb_inhibitor as target for now",https://www.kaggle.com/competitions/lish-moa/data?select=train_features.csv,Kaggle,https://www.kaggle.com/competitions/lish-moa/data?select=train_features.csv,Kaggle,,0,2021,Competition license,,"Basti: Predict Mechanisms of Action for drugs. Dominika: ""the training data has an additional (optional) set of MoA labels that are not included in the test data and not used for scoring. Check for shape.","Duplicate data from drug discovery data, this time with a target. There are several files, unclear which one to use; Basti: I think it is clear, that the train_features file contains the data and the train_targets_scored contains all the 207 targets.",Random (IID),Multiclass Classification,Predictive ML,Predictive ML,Tabular,drug discovery,Table,23814,,No,2.0,
Basti,miami_housing,Yes,miami_housing,"Yes, No FS lit. reference",24,,https://www.openml.org/search?type=data&id=46942&sort=runs&status=active,OpenML,https://www.openml.org/search?type=data&id=43093&sort=runs&status=active,OpenML,"TabArena, Why do tree-based models still outperform deep learning on typical tabular data?",2,2016,CC_BY-NC-SA,https://doi.org/10.1177/0042098020982508,"We use single-family house transactions data for 2016 collected by property tax assessors for Miami-Dade, Broward and Palm Beach counties. The data were obtained from the Florida Department of Revenue, which maintains property valuation data for all Florida counties as part of their property tax oversight efforts. We exclude extremely high- and low-priced as well as large and small properties (the top and bottom 1% in each case), resulting in a sample of 57,130 transactions across the three counties. TABARENA: We drop duplicated homes (non-unique identifiers and location) (~1% of the data). We drop the ID column ""PARCELNO"". Anomaly: while the original paper describes data with 57k samples, we only have 13k on OpenML or Kaggle.",,Random (IID),Regression,Predictive ML,Predictive ML,Tabular,finance,Table,10459,,Yes,,
Basti,MIC,Yes,mic,"Yes, No FS lit. reference, Sensitive features",112,,https://www.openml.org/d/46980,OpenML,https://archive.ics.uci.edu/dataset/579/myocardial+infarction+complications,UCI,TabArena,1,2020,CC BY 4.0,https://doi.org/10.1093/gigascience/giaa128,,,Random (IID),Multiclass Classification,Predictive ML,Predictive ML,Tabular,medical & healthcare,Table,1700,,Yes,2.0,
Basti,naticusdroid+android+permissions+dataset,Yes,naticusdroid_android_permissions_dataset,"Yes, No FS lit. reference",87,,https://www.openml.org/d/46969,OpenML,https://archive.ics.uci.edu/dataset/722/naticusdroid+android+permissions+dataset,UCI,TabArena,1,2021,CC BY 4.0,https://doi.org/10.1016/j.jisa.2020.102696,,,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,technology & internet,Table,29332,,Yes,2.0,
Dominika,NCI ovarian data,No,nci_ovarian_cancer,Yes,15148,,https://www.openml.org/d/45098,OpenML,https://home.ccr.cancer.gov/ncifdaproteomics/ppatterns.asp,GOV Website,"NIPS 2003 variable selection benchmark, Robust feature selection using ensemble feature selection techniques",2,2002,Public,https://doi.org/10.1016/S0140-6736(02)07746-2,"Link provided in the survey are outdated, I think I found another version, shapes of OpenML dataset match the shapes given in the paper. D: this is data used for ARCENE in NIPS 2003. Downloadable under low resolution seldi-tof dataests",,Random (IID),Binary Classification,Predictive ML,Scientific Discovery,Tabular,medical & healthcare,Table,253,,Yes,2.0,
Dominika,NCI Pancreatic,No,nci_pancreatic_cancer,Yes,6771,,https://home.ccr.cancer.gov/ncifdaproteomics/CancerCellPanINDataBinned.zip,Other,https://home.ccr.cancer.gov/ncifdaproteomics/ppatterns.asp,GOV Website,Robust feature selection using ensemble feature selection techniques,1,2022,Unknown,https://doi.org/10.1016/S1535-6108(03)00309-X,D: to classify and discriminate premalignant pancreatic cancer compared to control animals (binary classification),D: mass spectrometry data for mouse,Random (IID),Binary Classification,Predictive ML,Scientific Discovery,Tabular,medical & healthcare,Database (or multiple to-be-joined tables),181,,No,2.0,
Dominika,NCI prostate cancer data,No,nci_prostate_cancer,Yes,15154,,,,https://home.ccr.cancer.gov/ncifdaproteomics/ppatterns.asp,GOV Website,NIPS 2003 variable selection benchmark,1,2002,Unknown,https://doi.org/10.1093/jnci/94.20.1576,"Link provided in the survey are outdated, I think I found another version. D: Downloadable under low resolution seldi-tof dataests. The number of csv files matches the number of samples so we just need to merge everything into one table. Clasees are given in folder names","No data found on any of the usually used platforms, needs to be uploaded to OpenML. Dataset seems to be legit and not be a duplicate of other Prostate datasets",Random (IID),Binary Classification,Predictive ML,Scientific Discovery,Tabular,medical & healthcare,Database (or multiple to-be-joined tables),322,,No,2.0,
Basti,Online Shoppers Purchasing Intention Dataset,Yes,online_shoppers_purchasing_intention_dataset,"Yes, No FS lit. reference",18,,https://www.openml.org/d/46947,OpenML,http://archive.ics.uci.edu/dataset/468/online+shoppers+purchasing+intention+dataset,UCI,TabArena,1,2017,CC BY 4.0,https://doi.org/10.1007/s00521-018-3523-0,Curation comments by the TabArena team (for code see the page of the study):Anomaly: the data contains time-based features that were preprocessed to create a time-invariant predictive task.,,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,business & marketing,Table,12330,,Yes,2.0,
Lennart,Otto Group Product Classification,No,otto_group_product_classification_challenge,Yes,94,,https://www.openml.org/d/45548,OpenML,https://kaggle.com/competitions/otto-group-product-classification-challenge,Kaggle,"TabArena, A performance-driven benchmark for feature selection in tabular deep learning",2,2015,Competition license,"Benjamin Bossan, Josef Feigl, and Wendy Kan. Otto Group Product Classification Challenge. https://kaggle.com/competitions/otto-group-product-classification-challenge, 2015. Kaggle.","Good in TabArena, License?, small number of features. Dominika: has 93 features (+ id columns we can drop)","Dominika: from the Kaggle competition: ""Unless otherwise permitted by the terms of the Competition Website, Participants must use the Data solely for the purpose and duration of the Competition, including but not limited to reading and learning from the Data, analyzing the Data, modifying the Data and generally preparing your Submission and any underlying models and participating in forum discussions on the Website.""",Random (IID),Multiclass Classification,Predictive ML,Predictive ML,Tabular,"industry & manufacturing, business & marketing",Table,61878,,Yes,9.0,
Dominika,Polish Companies Bankruptcy,Yes,polish_companies_bankruptcy,"Yes, No FS lit. reference",65,,https://www.openml.org/d/46950,OpenML,http://archive.ics.uci.edu/dataset/365/polish+companies+bankruptcy+data,UCI,TabArena,1,2010,CC BY 4.0,https://doi.org/10.1016/j.eswa.2016.04.001,,,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,finance,Table,5790,,Yes,2.0,
Lennart,porto-seguro,No,porto_seguro,"Yes, No FS lit. reference",38,,https://www.openml.org/d/42742,OpenML,https://www.kaggle.com/c/porto-seguro-safe-driver-prediction,Kaggle,,0,2017,Public,https://www.kaggle.com/c/porto-seguro-safe-driver-prediction,Dominika: it's not included in the OG TabArena set or at least i couldn't find it,Dominika: Kaggle competition rules,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,insurance,Table,595206,,Yes,2.0,
Basti,predict_students_dropout_and_academic_success,Yes,predict_students_dropout_and_academic_success,"Yes, No FS lit. reference, Sensitive features",37,,https://www.openml.org/d/46960,OpenML,https://archive.ics.uci.edu/dataset/697/predict+students+dropout+and+academic+success,UCI,TabArena,1,2021,CC BY 4.0,https://doi.org/10.1007/978-3-030-72657-7_16,,,Random (IID),Multiclass Classification,Predictive ML,Predictive ML,Tabular,education,Table,4424,,Yes,3.0,
Dominika,Prostate,No,prostate_cancer,Yes,12601,Dominika: using binary classification task (normal vs tumor),https://www.openml.org/d/45099,OpenML,https://www.sciencedirect.com/science/article/pii/S1535610802000302,Other,"Recent advances in feature selection and its applications, Robust feature selection using ensemble feature selection techniques, Hybrid method based on information gain and support vector machine for gene selection in cancer classification, Feature Selection: A Data Perspective",4,2002,Public,https://www.cell.com/cancer-cell/fulltext/S1535-6108%2802%2900030-2,Dominika: added paper that cited Prostate_GE. I think the target is whether the patient relapsed or not,,Random (IID),Binary Classification,Predictive ML,Scientific Discovery,Tabular,medical & healthcare,Table,102,,Yes,2.0,
Lennart,KDD98,No,pva_revenue_prediction_kddcup98,"Yes, No FS lit. reference",479,,https://www.openml.org/d/23513,OpenML,https://kdd.ics.uci.edu/databases/kddcup98/kddcup98.html,KDD Competition,,0,1998,Public,https://kdd.ics.uci.edu/databases/kddcup98/kddcup98.html,Regression problem where the goal is to estimate the return from a direct mailing in order to maximize donation profits,,Random (IID),Regression,Predictive ML,Predictive ML,Tabular,business & marketing,Table,144095,,Yes,,
Basti,qsar-biodeg,Yes,qsar_biodeg,"Yes, No FS lit. reference",42,,https://www.openml.org/d/46952,OpenML,https://archive.ics.uci.edu/dataset/254/qsar+biodegradation,UCI,TabArena,1,2013,CC BY 4.0,https://doi.org/10.1021/ci4000213,chemistry dataset with (computed) molecular propeties to predict whether the sample is ready and not ready biodegradable,,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,biology & life sciences,Table,1055,,Yes,2.0,
Dominika,QSAR oral toxicity,Yes,qsar_oral_toxicity,"Yes, No FS lit. reference",1025,,https://archive.ics.uci.edu/dataset/508/qsar+oral+toxicity,Other,https://archive.ics.uci.edu/dataset/508/qsar+oral+toxicity,UCI,,0,2019,CC BY 4.0,https://doi.org/10.24432/C5PS4J,"Data set containing values for 1024 binary attributes (molecular fingerprints) used to classify 8992 chemicals into 2 classes (very toxic/positive, not very toxic/negative)","B: No column names. D: i think i just found this one UCI when searching for dataset for my thesis, there's no mention of it the FS literature. since we already have two other QSAR datasets (one of them has same # of features but diff target and perhaps columns?), perhaps we should rethink using this one? ",Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,biology & life sciences,Table,8992,,No,2.0,
Dominika,QSAR-TID-11,Yes,qsar_tid_11,"Yes, No FS lit. reference",1025,,https://www.openml.org/search?type=data&id=46953&sort=runs&status=active,OpenML,https://www.openml.org/search?type=data&sort=runs&status=active&id=3050,Other,TabArena,1,2015,CC0: Public Domain,https://doi.org/10.1007/s10994-017-5685-x,B: Chemistry dataset. features represent FCFP 1024bit Molecular Fingerprints. D: predition task for activity of a compound againts the TID target,,Random (IID),Regression,Predictive ML,Predictive ML,Tabular,biology & life sciences,Table,5742,,Yes,,
Lennart,Santander Customer Transaction Prediction,No,santander_customer_transaction_prediction,"Yes, No FS lit. reference, Sensitive features",601,,https://www.openml.org/d/42395,OpenML,https://www.kaggle.com/competitions/santander-customer-transaction-prediction/data?select=train.csv,Kaggle,,0,2019,Competition license,,D: The data provided for this competition has the same structure as the real data we have available to solve this problem. - guess it's still fine,"Dominika: ""Data Access and Use. Unless otherwise restricted under the Competition Specific Rules above, you may access and use the Competition Data for non-commercial purposes only, including for participating in the Competition and on Kaggle.com forums, and for academic research and education."" But also: ""No private sharing outside teams. Privately sharing code or data outside of teams is not permitted. It's okay to share code if made available to all participants on the forums.""",Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,business & marketing,Table,200000,,Yes,2.0,
Basti,SDSS17,Yes,sdss_17,"Yes, No FS lit. reference",12,,https://www.openml.org/d/46955,OpenML, https://www.kaggle.com/datasets/fedesoriano/stellar-classification-dataset-sdss17,Kaggle,TabArena,1,2022,Public Domain,https://www.kaggle.com/fedesoriano/stellar-classification-dataset-sdss17,,,Random (IID),Multiclass Classification,Predictive ML,Predictive ML,Tabular,physics & astronomy,Table,100000,,Yes,3.0,
Dominika,SMK_CAN_187,No,smoking_lung_cancer,Yes,22216,,https://www.openml.org/d/45100,OpenML,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE4115,GOV Website,Feature Selection: A Data Perspective,1,2007,Public,https://doi.org/10.1038/nm1556,Dominika: gene-expression profiles from Affymetrix HG-U133A microarrays. Need to check whether it's different from the Lung dataset.,,Random (IID),Binary Classification,Predictive ML,Scientific Discovery,Tabular,medical & healthcare,Table,187,,Yes,2.0,
Dominika,soybean-large,No,soybean_large,Yes,36,"Dominika: I ignored remarks in the e-mails as I cannot validate them in any way (domain expertise). Dataset often used with 15 classes instead of 19 (4 classes with # samples: 6, 6, 4, 1). I removed the one with a single sample.",https://www.openml.org/search?type=data&sort=runs&id=42&status=active,OpenML,https://archive.ics.uci.edu/dataset/90/soybean+large,UCI,"Wrappers for feature subset selection, Correlation-based feature selection for machine learning, Random Forests, Consistency-based search in feature selection, Constraint Score: A new filter method for feature selection with pairwise constraints, Comprehensive Decision Tree Models in Bioinformatics",6,1988,CC BY 4.0,,"Has a month column, but we think it is okay",D: hope it's not too easy but with so many classes it might be okay,Random (IID),Multiclass Classification,Predictive ML,Predictive ML,Tabular,biology & life sciences,Table,306,,Yes,18.0,
Dominika,SRBCT,No,srbct_prediction,Yes,2309,"No original deposition of the dataset, many R packages include it (in the same shape) but no better source than OpenML.",https://www.openml.org/d/45101,OpenML,,,On the Use of Variable Complementarity for Feature Selection in Cancer Classification,1,2001,Public,https://www.nature.com/articles/nm0601_673,Some medical gene dataset,D: Round blue cell tumors (SRBCT) dataset. From this paper: we used gene-expression data from cDNA microarrays containing 6567 genes. ,Random (IID),Multiclass Classification,Predictive ML,"Scientific Discovery, Predictive ML",Tabular,medical & healthcare,Table,83,,Yes,4.0,
Basti,superconductivity,Yes,superconductivity,"Yes, No FS lit. reference",83,,https://www.openml.org/d/46961,OpenML,https://archive.ics.uci.edu/dataset/464/superconductivty+data,UCI,"TabArena, Why do tree-based models still outperform deep learning on typical tabular data?",2,2018,CC BY 4.0,https://doi.org/10.1016/j.commatsci.2018.07.052,,,Random (IID),Regression,Predictive ML,Predictive ML,Tabular,physics & astronomy,Table,21263,,Yes,,
Basti,company_bankruptcy_prediction,Yes,taiwanese_bankruptcy_prediction,"Yes, No FS lit. reference",96,,https://www.openml.org/d/46962,OpenML,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction,UCI,TabArena,1,2009,CC BY 4.0,https://doi.org/10.1016/j.ejor.2016.01.012,,,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,finance,Table,6819,,Yes,2.0,
Lennart,Thyroid-Disease (Hypothyroid),No,thyroid_discordant,Yes,27,,https://www.openml.org/d/40476,OpenML,https://doi.org/10.24432/C5D010,UCI,"Very Simple Classification Rules Perform Well on Most Commonly Used Datasets, Wrappers for feature subset selection",2,1986,,https://doi.org/10.1023/A:1022643204877,"The primary criteria were size (real datasets must have more than 300 instances), difficulty (the accuracy should not be too high after seeing only a small number of instances), age (old datasets at the UC Irvine repository, such as Chess, hypothyroid, and vote, were not considered because of their possible influence on the development of algorithms). D: doesn't seem to me openml and uci datasets are the same thing (Kohavi mentions thyroid dataset as older than sick-euthyroid). Lennart: See thyroid_discordant in data-foundry, I think this has more than 5 features?","There seem to be different versions, see UCI and OpenML source, providing different versions of the Quinlan dataset (see reference)",Random (IID),Multiclass Classification,Predictive ML,Predictive ML,Tabular,medical & healthcare,Table,3711,,Yes,5.0,
Dominika,wine_quality,Yes,wine_quality,Yes,12,Dominika: it's an ordinal regression task,https://www.openml.org/d/46964,OpenML, https://doi.org/10.24432/C56S3T,UCI,"TabArena, Synthetic Benchmarks for Scientific Research in Explainable Machine Learning, Why do tree-based models still outperform deep learning on typical tabular data?, Novel Optimized Feature Selection Using Metaheuristics Applied to Physical Benchmark Datasets, Conditional likelihood maximisation: a unifying framework for information theoretic feature selection, Constraint Score: A new filter method for feature selection with pairwise constraints",6,2009,CC BY 4.0,https://doi.org/10.1016/j.dss.2009.05.016,"D: Also, we are not sure if all input variables are relevant. So it could be interesting to test feature selection methods. Task can be classification or regression",,Random (IID),Regression,Predictive ML,Predictive ML,Tabular,food science,Table,6497,,Yes,,
